trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.8, 'e': 0.8419999999999999}",25,0,-72.45697731417461,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.8399999999999999}",20,0,4.891924932078882,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.8379999999999999}",20,0,-73.06434496266961,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.8, 'e': 0.8359999999999999}",30,0,-125.54056801951191,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
83,False,"{'a': 0.8, 'e': 0.8339999999999999}",20,0,-119.87540727798564,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
84,False,"{'a': 0.8, 'e': 0.8319999999999999}",25,0,-121.2120354372883,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.8, 'e': 0.8299999999999998}",20,0,-48.3734390686544,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.8279999999999998}",30,0,-111.09359904354656,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
87,False,"{'a': 0.8, 'e': 0.8259999999999998}",30,0,-134.37816155904,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.8, 'e': 0.8239999999999998}",35,0,-191.435971037408,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
89,False,"{'a': 0.8, 'e': 0.8219999999999998}",30,0,-123.44367132088202,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 0}",0
90,False,"{'a': 0.8, 'e': 0.8199999999999998}",25,15,-13.792070948391249,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.8179999999999998}",20,0,-141.8888966033322,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
92,False,"{'a': 0.8, 'e': 0.8159999999999998}",20,6,-22.83644388565313,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.8139999999999998}",30,0,-98.316165764898,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.8, 'e': 0.8119999999999998}",20,0,-184.28850022581938,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
